,Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9],Image
243,Hare Indian Dog,"Canada, United States",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
244,Harrier,United Kingdom (England),Group 06 Section 01 #295,Hound Group,Group 04 (Hounds),Group 02 - Hounds,,Hound,Scenthound,
245,Havanese,Cuba,Group 09 Section 01 #250,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
246,Hawaiian Poi Dog,United States,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
247,Himalayan Sheepdog,Nepal,,,,,,,,
248,Hokkaido,Japan,Group 05 Section 05 #261,FSS,,,,,Northern Breed,
249,Hortaya borzaya,"Ukraine, Belarus, Southern Russia",,,,,,,,
250,Hovawart,Germany,Group 02 Section 02 #190,FSS,,Group 03 - Working Dogs,Working,,Guardian Dog,
251,Huntaway,New Zealand,,,,,,Working,,
252,Hygen Hound,Norway,Group 06 Section 01 #266,,,,,,Scenthound,
253,Ibizan Hound,Spain,Group 05 Section 07 #089,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
254,Icelandic Sheepdog,Iceland,Group 05 Section 03 #289,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,,Working,Herding Dog,
255,Indian pariah dog,India,,,,,,,,
256,Indian Spitz,India,,,,,,,,
257,Irish Red and White Setter,Ireland,Group 07 Section 02 #330,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
258,Irish Setter,Ireland,Group 07 Section 02 #120,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
259,Irish Terrier,Ireland,Group 03 Section 01 #139,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
260,Irish Water Spaniel,Ireland,Group 08 Section 03 #124,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
261,Irish Wolfhound,Ireland,Group 10 Section 02 #160,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
262,Istrian Coarse-haired Hound,Croatia,Group 06 Section 01 #152,,,,,,Scenthound,
263,Istrian Short-haired Hound,Croatia,Group 06 Section 01 #151,,,,,,Scenthound,
264,Italian Greyhound,Italy,Group 10 Section 03 #200,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
265,Jack Russell Terrier,United Kingdom (England),Group 03 Section 02 #345,,Group 02 (Terriers),,Terrier,Terrier,Terrier,
266,Jagdterrier,Germany,Group 03 Section 01 #103,FSS,Group 02 (Terriers),,,Terrier,Terrier,
267,Swedish Elkhound,Sweden,Group 05 Section 02 #042,,,,,,Northern Breed,
268,Japanese Chin,Japan,Group 09 Section 08 #206,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
269,Japanese Spitz,Japan,Group 05 Section 05 #262,,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed,
270,Japanese Terrier,Japan,Group 03 Section 02 #259,,,,,,Terrier,
271,Jindo,South Korea,Group 05 Section 05 #334,FSS,,,,Utility,Northern Breed,
272,Jonangi,India,,,,,,,,
273,Kaikadi dog,India,,,,,,,,
274,Kai Ken,Japan,Group 05 Section 05 #317,FSS,,,,,Northern Breed,
275,Kangal Shepherd Dog,Turkey,Group 02 Section 02 #331,,Group 06 (Utility),,Pastoral,Utility,Guardian Dog,
276,Kanni,India,,,,,,,,
277,Karakachan dog,Bulgaria,,,,,,,,
278,Karelian Bear Dog,Finland,Group 05 Section 02 #048,FSS,,Group 03 - Working Dogs,,,Northern Breed,
279,Karst Shepherd,Slovenia,Group 02 Section 02 #278,,,,,,Guardian Dog,
280,Keeshond,"Netherlands, Germany",Group 05 Section 04 #097,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed,
281,Kerry Beagle,Ireland,,,,,,,,
282,Kerry Blue Terrier,Ireland,Group 03 Section 01 #003,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
283,King Charles Spaniel,United Kingdom (England),Group 09 Section 07 #128,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
284,King Shepherd,United States,,,,,,,,
285,Kintamani,Indonesia,Group 05 Section 05 #362 Provisional,,,,,,,
286,Kishu Ken,Japan,Group 05 Section 05 #318,FSS,,,,,Northern Breed,
287,Komondor,Hungary,Group 01 Section 01 #053,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog,
288,Koolie,Australia,,,,,,,,
289,Koyun dog,Turkey,,,,,,,,
290,Kromfohrländer,Germany,Group 09 Section 10 #192,FSS,,,,,Companion Dog,
291,Kumaon Mastiff,India,,,,,,,,
292,Kunming Wolfdog,China,,,,,,,,
293,Kurī,New Zealand,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
294,Kuvasz,Hungary,Group 01 Section 01 #054,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog,
295,Kyi-Leo,United States,,,,,,,,
296,Labrador Husky,Canada,,,,,,,,
297,Labrador Retriever,"Canada, United Kingdom (England)",Group 08 Section 01 #122,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
298,Lagotto Romagnolo,Italy,Group 08 Section 03 #298,Sporting Group,,"Group 01 - Sporting Dogs, listed",Gundog,Gundog,Gun Dog,
299,Lakeland Terrier,United Kingdom (England),Group 03 Section 01 #070,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
300,Lancashire Heeler,United Kingdom (England),Group 01 Section 01 #360,Miscellaneous,,"Group 07 - Herding Dogs, listed",Pastoral,,Herding Dog,
301,Landseer,Canada,Group 02 Section 02 #226,,,,,,,
302,Lapponian Herder,Finland,Group 05 Section 03 #284,FSS,,,,,Herding Dog,
303,Lapponian Shepherd,Finland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
304,Leonberger,Germany,Group 02 Section 02 #145,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
305,Lhasa Apso,Tibet,Group 09 Section 05 #227,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
306,Lithuanian Hound,Lithuania,,,,,,,,
307,Louisiana Catahoula Leopard Dog,United States,,FSS,,,,,Herding Dog,
308,Löwchen,"Germany, France, Netherlands, Spain",Group 09 Section 01 #233,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog,
309,Mackenzie River husky,Canada and Alaska,,,,,,,,
310,Magyar agár,"Hungary, Romania",Group 10 Section 03 #240,,,,,,Sighthound and Pariah,
311,Mahratta Greyhound,India,,,,,,,,
312,Maltese,Italy,Group 09 Section 01 #065,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
313,Manchester Terrier,United Kingdom (England),Group 03 Section 01 #071,"Terrier Group, Toy Group",Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
314,Maremma Sheepdog,Italy,Group 01 Section 01 #201,,Group 05 (Working Dogs),,Pastoral,Working,Guardian Dog,
315,Marquesan Dog,Marquesas Islands (French Polynesia),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
316,McNab dog,United States,,,,,,,,
317,Miniature American Shepherd,United States,,Herding Group,,"Group 7 - Herding Dogs, listed",,,Herding Dog,
318,Miniature Bull Terrier,United Kingdom (England),Group 03 Section 03 #011,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
319,Miniature Fox Terrier,Australia,,,,,,,,
320,Miniature Pinscher,Germany,Group 02 Section 01 #185,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
321,Miniature Schnauzer,Germany,Group 02 Section 01 #183,Terrier Group,Group 06 (Utility),Group 04 - Terriers,Utility,Utility,Terrier,
322,Miniature Shar Pei,China,,,,,,,,
323,Molossus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
324,Molossus of Epirus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
325,Montenegrin Mountain Hound,Montenegro,Group 06 Section 01 #279,,,,,,Scenthound,
326,Moscow Watchdog,Russia,,,,,,,,
327,Moscow Water Dog,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
328,Mountain Cur,United States,,FSS,,,,,Scenthound,
329,Mucuchies,Venezuela,,,,,,,,
330,Mudhol Hound,India,,,,,,,,
331,Mudi,Hungary,Group 01 Section 01 #238,Miscellaneous,,"Group 07 - Herding Dogs, listed",,,Herding Dog,
332,"Münsterländer, Large",Germany,Group 07 Section 01 #118,,Group 03 (Gundogs),,Gundog,Gundog,Gun Dog,
333,"Münsterländer, Small",Germany,Group 07 Section 01 #102,FSS,,"Group 01 - Sporting Dogs, listed",Gundog,,Gun Dog,
334,Neapolitan Mastiff,Italy,Group 02 Section 02 #197,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
335,Nederlandse Kooikerhondje,Netherlands,Group 08 Section 02 #314,Sporting Group,,,Utility,,Gun Dog,
336,Newfoundland,Canada,Group 02 Section 02 #050,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
337,New Zealand Heading Dog,New Zealand,,,,,,,,
338,Norfolk Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
339,Norfolk Terrier,United Kingdom (England),Group 03 Section 02 #272,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
340,Norrbottenspets,Sweden,Group 05 Section 02 #276,Miscellaneous,,Group 02 - Hounds,,,Northern Breed,
341,North Country Beagle,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
342,Northern Inuit Dog,United Kingdom (England),,,,,,,,
343,Norwegian Buhund,Norway,Group 05 Section 03 #237,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Northern Breed,
344,Norwegian Elkhound,Norway,Group 05 Section 02 #242,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed,
345,Norwegian Lundehund,Norway,Group 05 Section 02 #265,Non-Sporting Group,,Group 02 - Hounds,,,Northern Breed,
346,Norwich Terrier,United Kingdom (England),Group 03 Section 02 #072,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
347,Nova Scotia Duck Tolling Retriever,Canada,Group 08 Section 01 #312,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
348,Old Croatian Sighthound,Croatia,,,,,,,,
349,Old Danish Pointer,Denmark,Group 07 Section 01 #281,,,,,,Gun Dog,
350,Old English Bulldog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
351,Old English Sheepdog,United Kingdom (England),Group 01 Section 01 #016,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
352,Old English Terrier,United Kingdom (England),,,,,,,,
353,Old German Shepherd Dog,Germany,,,,,,,,
354,Old Spanish Pointer,Spain,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
355,Old Time Farm Shepherd,United States,,,,,,,,
356,Olde English Bulldogge,United States,,,,,,,Guardian Dog,
357,Otterhound,United Kingdom (England),Group 06 Section 01 #294,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
358,Pachon Navarro,Spain,,,,,,,,
359,Pandikona,India,,,,,,,,
360,Paisley Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
361,Papillon,"Spain, Belgium, France",Group 09 Section 09 #077,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
362,Parson Russell Terrier,United Kingdom (England),Group 03 Section 01 #339,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",Terrier,Terrier,Terrier,
363,Pastore della Lessinia e del Lagorai,Italy,,,,,,,,
364,Patterdale Terrier,United Kingdom (England),,,,,,,Terrier,
365,Pekingese,China,Group 09 Section 08 #207,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
366,Perro de Pastor Mallorquin,Spain,,,,,,,Herding Dog,
367,Perro de Presa Canario,Spain,Group 02 Section 02 #346,FSS,,,,,Guardian Dog,
368,Perro de Presa Mallorquin,Spain,Group 02 Section 02 #249,,,,,,Guardian Dog,
369,Peruvian Inca Orchid,Peru,Group 05 Section 06 #310,Miscellaneous,Group 04 (Hounds),,,Hound,Sighthound and Pariah,
370,Petit Basset Griffon Vendéen,France,Group 06 Section 01 #067,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
371,Petit Bleu de Gascogne,France,Group 06 Section 01 #031,,,,,,Scenthound,
372,Phalène,"Belgium, Spain",Group 09 Section 09 #077,,,,,,,
373,Pharaoh Hound,Malta,Group 05 Section 06 #248,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
374,Phu Quoc Ridgeback,Vietnam,,,,,,,,
375,Picardy Spaniel,France,Group 07 Section 01 #108,,,,,,Gun Dog,
376,Plummer Terrier,United Kingdom,,,,,,,,
377,Plott Hound,United States,,Hound Group,,,,,Scenthound,
378,Podenco Canario,Spain,Group 05 Section 07 #329,,,,,,Sighthound and Pariah,
379,Poitevin,France,Group 06 Section 01 #024,,,,,,Scenthound,
380,Polish Greyhound,Poland,Group 10 Section 03 #333,,,,,,Sighthound and Pariah,
381,Polish Hound,Poland,Group 06 Section 01 #052,,,,,,Scenthound,
382,Polish Hunting Dog,Poland,Group 06 Section 01 #354,,,,,,,
383,Polish Lowland Sheepdog,Poland,Group 01 Section 01 #251,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
384,Polish Tatra Sheepdog,Poland,Group 01 Section 01 #252,,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",,Working,Guardian Dog,
385,Pomeranian,"Germany, Poland",Group 05 Section 04 #097,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
386,Pont-Audemer Spaniel,France,Group 07 Section 01 #114,,,,,,,
387,Poodle,"Germany, France",Group 09 Section 02 #172,"Non-Sporting Group (Standard Poodle and Minature Poodle), Toy Group (Toy Poodle)",Group 07 (Non-Sporting),"Group 05 - Toys, Group 06 - Non-Sporting",Utility,Non Sporting,"Companion Dog, Gun Dog",
388,Porcelaine,France,Group 06 Section 01 #030,FSS,,,,,Scenthound,
389,Portuguese Podengo,Portugal,Group 05 Section 07 #094,"Hound (Pequeno), Miscellaneous (Grande and Medio)",Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah,
390,Portuguese Pointer,Portugal,Group 07 Section 01 #187,FSS,,,Gundog,,Gun Dog,
391,Portuguese Water Dog,Portugal,Group 08 Section 03 #037,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Gun Dog,
392,Posavac Hound,Croatia,Group 06 Section 01 #154,,,,,,Scenthound,
393,Potsdam Greyhound,Italy,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
394,Pražský Krysařík,Czech Republic,,,,,,,,
395,Pudelpointer,Germany,Group 07 Section 01 #216,FSS,,Group 01 - Sporting Dogs,,,Gun Dog,
396,Pug,China,Group 09 Section 11 #253,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
397,Puli,Hungary,Group 01 Section 01 #055,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
398,Pumi,Hungary,Group 01 Section 01 #056,Herding Group,Group 05 (Working Dogs),,Pastoral,Working,Herding Dog,
399,Pungsan dog,North Korea,,,,,,,,
400,Pyrenean Mastiff,Spain,Group 02 Section 02 #092,FSS,Group 06 (Utility),,Working,Utility,Guardian Dog,
401,Pyrenean Shepherd,France,"Group 01 Section 01 #138 (smooth), #141 (longhaired)",Herding Group,Group 05 (Working Dogs) (longhaired only),Group 07 - Herding Dogs,Pastoral (longhaired only),Working (longhaired only),Herding Dog,
402,Rafeiro do Alentejo,Portugal,Group 02 Section 02 #096,FSS,,,,,Guardian Dog,
403,Rajapalayam,India,,,,,,,,
404,Rampur Greyhound,India,,,,,,,,
405,Rastreador Brasileiro,Brazil,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
406,Rat Terrier,United States,,Terrier Group,,"Group 04 - Terriers, listed",,,Terrier,
407,Ratonero Bodeguero Andaluz,Spain,,,,,,,,
408,Ratonero Mallorquin,Spain,,,,,,,,
409,Ratonero Murciano de Huerta,Spain,,,,,,,,
410,Ratonero Valenciano,Spain,,,,,,,,
411,Redbone Coonhound,United States,,Hound Group,,,,,Scenthound,
412,Rhodesian Ridgeback,Zimbabwe,Group 06 Section 03 #146,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
413,Romanian Mioritic Shepherd Dog,Romania,Group 01 Section 01 #349,FSS,,,,,Herding Dog,
414,Romanian Raven Shepherd Dog,Romania,,,,,,,,
415,Rottweiler,Germany,Group 02 Section 02 #147,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
416,Russian Salon Dog,Russia,,,,,,,,
417,Russian Spaniel,Russia,,,,,,,,
418,Russian Toy,Russia,Group 09 Section 09 #352,Miscellaneous,Group 01 (Toys),"Group 05 - Toys, listed",Toy,Toy,Companion Dog,
419,Russian Tracker,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
420,Russo-European Laika,Russia,Group 05 Section 02 #304,,,,,,Northern Breed,
421,Russell Terrier,United Kingdom (England),,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",,,,
422,Saarloos Wolfdog,"Netherlands, Germany",Group 01 Section 01 #311,,,,,,Herding Dog,
423,Sabueso Español,Spain,Group 06 Section 01 #204,,,,,,Scenthound,
424,Sabueso fino Colombiano,Colombia,,,,,,,,
425,Saint Bernard,"Italy, Switzerland",Group 02 Section 02 #061,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
426,Saint John's water dog,"Newfoundland, Canada",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
427,Saint-Usuge Spaniel,France,,,,,,,,
428,Sakhalin Husky,"Japan, Russia",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
429,Salish Wool Dog,"United States, Canada",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
430,Saluki,Fertile Crescent,Group 10 Section 01 #269,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
431,Samoyed,Russia,Group 05 Section 01 #212,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Northern Breed,
432,Sapsali,Korea,,,,,,,,
433,Šarplaninac,"Serbia, North Macedonia",Group 02 Section 02 #041,,,,,,Guardian Dog,
434,Schapendoes,Netherlands,Group 01 Section 01 #313,FSS,,Group 07 - Herding Dogs,,,Herding Dog,
435,Schillerstövare,Sweden,Group 06 Section 01 #131,,,,,,Scenthound,
436,Schipperke,Belgium,Group 01 Section 01 #083,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
437,Schweizer Laufhund,Switzerland,Group 06 Section 01 #059,,,,,,Scenthound,
438,Schweizerischer Niederlaufhund,Switzerland,Group 06 Section 01 #060,,,,,,Scenthound,
439,Scotch Collie,United Kingdom (Scotland),,,,,,,,
440,Scottish Deerhound,United Kingdom (Scotland),Group 10 Section 02 #164,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
441,Scottish Terrier,United Kingdom (Scotland),Group 03 Section 02 #073,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
442,Sealyham Terrier,United Kingdom (Wales),Group 03 Section 02 #074,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
443,Segugio Italiano,Italy,Group 06 Section 01 #337 #198,FSS,,,Hound,,Scenthound,
444,Seppala Siberian Sleddog,Canada,,,,,,,,
445,Serbian Hound,Serbia,Group 06 Section 01 #150,,,,,,Scenthound,
446,Serbian Tricolour Hound,Serbia,Group 06 Section 01 #229,,,,,,Scenthound,
447,Seskar Seal Dog,Finland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
448,Shar Pei,China,Group 02 Section 02 #309,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Northern Breed,
449,Shetland Sheepdog,United Kingdom (Scotland),Group 01 Section 01 #088,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
450,Shiba Inu,Japan,Group 05 Section 05 #257,Non-Sporting Group,Group 06 (Utility),Group 06 - Non-Sporting,Utility,Utility,Northern Breed,
451,Shih Tzu,China,Group 09 Section 05 #208,Toy Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
452,Shikoku,Japan,Group 05 Section 05 #319,FSS,,"Group 02 - Hounds, listed",,,Northern Breed,
453,Shiloh Shepherd,United States,,,,,,,,
454,Siberian Husky,Russia,Group 05 Section 01 #270,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed,
455,Silken Windhound,United States,,,,,,,Sighthound and Pariah,
456,Silky Terrier,Australia,Group 03 Section 04 #236,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Terrier,
457,Sinhala Hound,Sri Lanka,,,,,,,,
458,Skye Terrier,United Kingdom (Scotland),Group 03 Section 02 #075,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
459,Sloughi,Morocco,Group 10 Section 03 #188,Hound Group,Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah,
460,Slovak Cuvac,Slovakia,Group 01 Section 01 #142,FSS,,,,,Guardian Dog,
461,Slovakian Wirehaired Pointer,Slovakia,Group 07 Section 01 #320,FSS,,,Gundog,,Gun Dog,
462,Slovenský kopov,Slovakia,Group 06 Section 01 #244,FSS,,,,,Scenthound,
463,Smålandsstövare,Sweden,Group 06 Section 01 #129,,,,,,Scenthound,
464,Small Greek Domestic Dog,Greece,,,,,,,,
465,Soft-Coated Wheaten Terrier,Ireland,Group 03 Section 01 #040,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
466,South Russian Ovcharka,Russia,Group 01 Section 01 #326,,,,,,Herding Dog,
467,Southern Hound,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
468,Spanish Mastiff,Spain,Group 02 Section 02 #091,FSS,,,,Utility,Guardian Dog,
469,Spanish Water Dog,Spain,Group 08 Section 03 #336,Herding Group,Group 03 (Gundogs),"Group 07 - Herding Dogs, listed",Gundog,Gundog,Herding Dog,
470,Spinone Italiano,Italy,Group 07 Section 01 #165,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
471,Sporting Lucas Terrier,United Kingdom (England),,,,,,,Terrier,
472,Stabyhoun,Netherlands,Group 07 Section 01 #222,FSS,,,,,Gun Dog,
473,Staffordshire Bull Terrier,United Kingdom (England),Group 03 Section 03 #076,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
474,Standard Schnauzer,Germany,Group 02 Section 01 #182,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Utility,Utility,Guardian Dog,
475,Stephens Cur,United States,,,,,,,Scenthound,
476,Styrian Coarse-haired Hound,Austria,Group 06 Section 01 #062,,,,,,Scenthound,
477,Sussex Spaniel,United Kingdom (England),Group 08 Section 02 #127,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
478,Swedish Lapphund,Sweden,Group 05 Section 03 #135,FSS,Group 05 (Working Dogs),,Pastoral,,Northern Breed,
479,Swedish Vallhund,Sweden,Group 05 Section 03 #014,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
480,Tahitian Dog,"Tahiti, Society Islands (French Polynesia)",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
481,Tahltan Bear Dog,Canada,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
482,Taigan,Kyrgyzstan,,,,,,,,
483,Taiwan Dog,Taiwan,Group 05 Section 07 #348,FSS,,,,,,
484,Talbot Hound,"United Kingdom (England), Belgium, France",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
485,Tamaskan Dog,Finland,,,,,,,,
486,Teddy Roosevelt Terrier,United States,,FSS,,,,,Terrier,
487,Telomian,Malaysia,,,,,,,,
488,Tenterfield Terrier,Australia,,,Group 02 (Terriers),,,Terrier,,
489,Terceira Mastiff,Portugal,,,,,,,,
490,Thai Bangkaew Dog,Thailand,Group 05 Section 05 #358 Provisional,,,,,,,
491,Thai Ridgeback,Thailand,Group 05 Section 07 #338,FSS,,,,Hound,Sighthound and Pariah,
492,Tibetan Mastiff,Tibet,Group 02 Section 02 #230,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog,
493,Tibetan Spaniel,Tibet,Group 09 Section 05 #231,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
494,Tibetan Terrier,Tibet,Group 09 Section 05 #209,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
495,Tornjak,"Bosnia and Herzegovina, Croatia",Group 02 Section 02 #355,FSS,,,,,Guardian Dog,
496,Tosa,Japan,Group 02 Section 02 #260,FSS,,,,,Guardian Dog,
497,Toy Bulldog,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
498,Toy Fox Terrier,United States,,Toy Group,,Group 05 - Toys,,,Terrier,
499,Toy Manchester Terrier,"United Kingdom (England), United States",,Toy Group,,Group 05 - Toys,,,Terrier,
500,Toy Trawler Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
501,Transylvanian Hound,Hungary,Group 06 Section 01 #241,FSS,,,,,Scenthound,
502,Treeing Cur,United States,,,,,,,Scenthound,
503,Treeing Tennessee Brindle,United States,,FSS,,,,,Scenthound,
504,Treeing Walker Coonhound,United States,,Hound Group,,,,,Scenthound,
505,Trigg Hound,"Kentucky, United States",,,,,,,,
506,Tweed Water Spaniel,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
507,Tyrolean Hound,Austria,Group 06 Section 01 #068,,,,,,Scenthound,
508,Cimarrón Uruguayo,Uruguay,Group 02 Section 02 #353,,,,,,Guardian Dog,
509,Vanjari Hound,India,,,,,,,,
510,Villano de Las Encartaciones,Spain,,,,,,,,
511,Villanuco de Las Encartaciones,Spain,,,,,,,,
